Тип субјекта,Матични број,Пословно име,Статус,Детаљније
Друштво са ограниченом одговорношћу,17092278,"HOLDING KORPORACIJA CORES DOO HPC INTERNATIONAL PREDUZEĆE ZA PROMET I USLUGE DOO  BEOGRAD,  BULEVAR JNA 170-174",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,6525474,"PREDUZECE ZA TRGOVINU NA VELIKO I MALO NICCO DOO, BEOGRAD (STARI GRAD)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000538,ASIST INFORMACIONE TEHNOLOGIJE DOO BEOGRAD (GRAD),Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,7009054,DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU DORĆOL INŽENJERING BEOGRAD (STARI GRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000872,TULA DOO BEOGRAD (NOVI BEOGRAD),Активно привредно друштво,детаљније
Ортачко друштво,20002107,GERONTOHELP OD  BEOGRAD (ZEMUN),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7475195,"PREDUZEĆE ZA PROIZVODNJU, GRAĐEVINARSTVO I TRGOVINU YU-BOBAN DOO, BEOGRAD (ZVEZDARA)",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20000856,"PREDUZEĆE ZA TELEKOMUNIKACIJE TCCO DOO BEOGRAD, GANDIJEVA 150-33 - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,7810873,"FRIGOLINIJA  EXPORT-IMPORT PREDUZEĆE ZA PROIZVODNJU, PROMET I USLUGE DOO, BEOGRAD",Активно привредно друштво,детаљније
Акционарско друштво,7091435,"MINEL-ELEKTROCENTAR PREDUZEĆE ZA PROIZVODNJU ELEKTRIČNIH MAŠINA I UREDJAJA, AKCIONARSKO DRUŠTVO BEOGRAD (ČUKARICA)",Активно привредно друштво,детаљније
